ImageID;StampID;ImageType;ImageAdditionalDescription;ImageLink300px;ImageLink1000px
196;340;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0107Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0107Z.png
197;336;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0108X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0108X.png
198;336;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0108Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0108Z.png
199;347;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0109X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0109X.png
200;347;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0109Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0109Z.png
201;349;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0110X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0110X.png
202;349;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0110Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0110Z.png
203;341;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0111X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0111X.png
204;341;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0111Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0111Z.png
205;342;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0112X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0112X.png
206;342;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0112Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0112Z.png
207;346;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0113X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0113X.png
208;346;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0113Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0113Z.png
209;345;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0114X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0114X.png
210;345;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0114Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0114Z.png
211;344;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0115X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0115X.png
212;344;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0115Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0115Z.png
213;348;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0116X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0116X.png
214;348;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0116Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0116Z.png
215;338;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0117X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0117X.png
216;338;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0117Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0117Z.png
217;337;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0118X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0118X.png
218;337;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0118Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0118Z.png
219;343;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0119X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0119X.png
220;343;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0119Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0119Z.png
221;95;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0120X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0120X.png
